Row ID,Row Title,implementation
ARC-001,ARC-001 — Project scope and architectural goals,
ARC-002,ARC-002 — Component-level architecture,
ARC-012,ARC-012 — Preset YAML schema,
ARC-018,ARC-018 — Config-driven validation,
ARC-028,ARC-028 — Circular reference detection in graph validation,
ARC-029,ARC-029 — Partial file processing with source-repo links,
ARC-015,ARC-015 — In-memory processing with no side effects,
ARC-026,ARC-026 — GraphViz DOT and Vega-Lite serialization methods,
ARC-016,ARC-016 — Event-driven Antora integration,
ARC-024,ARC-024 — traceability:links[] and traceability:incoming[] link rendering,
ARC-025,"""ARC-025 — traceability:graph[], traceability:graph-coverage[], and traceability:config-graph[] visualization macros""",
ARC-027,ARC-027 — Matrix registration in the content catalog,
ARC-017,ARC-017 — Regex-based parsing,
ARC-019,ARC-019 — Config-driven matrix generation with coverage calculations,
ARC-020,ARC-020 — Mustache template rendering for HTML output,
ARC-021,ARC-021 — Path resolution for matrix-to-item links,
ARC-022,ARC-022 — Graph-to-Neo4j CSV and Cypher export,
ARC-023,ARC-023 — Commander-based CLI with subcommands,
ARC-030,ARC-030 — CI/CD PDF build and deployment pipeline,
ARC-031,ARC-031 — Static landing page at GitHub Pages root,
ARC-032,ARC-032 — Lunr search extension customization for item anchor indexing,
ARC-033,ARC-033 — Example site: config extension and dashboard patterns,
ARC-034,ARC-034 — Vale prose-lint extension,
ARC-003,ARC-003 — Processing flow during Antora build,
ARC-013,ARC-013 — ESM module system,
ARC-014,ARC-014 — Dependency injection by constructor,
ARC-004,ARC-004 — Key architectural decisions and their rationale,

Total 27 rows
Coverage: 0.0%
