id,title,role,status,sourceFile,content
REQ-001,REQ-001 — Single `item` macro replaces all block macros,requirement,,requirements.adoc,"""The system SHALL use a single `[item]` block macro to define all traceable artifacts, replacing the previous role-specific macros.

Related specs: `unified-item-macro/spec.md`

Source: OpenSpec specification — Scenario: Define a requirement using `[#REQ-001, item, role=requirement]`

traceability:outgoing[]

traceability:incoming[]"""
REQ-002,REQ-002 — `item` macro accepts role attribute,requirement,,requirements.adoc,"""The `[item]` macro SHALL accept a `role` attribute that specifies the type of traceable artifact. Items without a `role` attribute receive the default role `unknown` with a warning.

Related specs: `unified-item-macro/spec.md`

traceability:outgoing[]
traceability:incoming[]"""
REQ-003,REQ-003 — `item` macro maintains existing attributes,requirement,,requirements.adoc,"""The `[item]` macro SHALL support the attributes `id`, `title`, `status`, and any custom attributes. The `title` defaults to the item's `id` if omitted. The `status` field is free-form.

Related specs: `unified-item-macro/spec.md`

traceability:outgoing[]
traceability:incoming[]"""
REQ-004,REQ-004 — `item` macro supports block content,requirement,,requirements.adoc,====
REQ-005,REQ-005 — Old macro syntax generates deprecation error,requirement,,requirements.adoc,"""The system SHALL detect and report the old macro syntax (`[req]`, `[imp]`, `[test]`, `[doc]`) as a deprecation error, suggesting the equivalent `[item, role=...]` syntax.

Related specs: `unified-item-macro/spec.md`"""
REQ-006,REQ-006 — Configuration defines roles,requirement,,requirements.adoc,"""The system SHALL read roles from a YAML configuration file. Items with roles not in this list receive warnings. An empty roles list generates an error.

Related specs: `configuration-system/spec.md`

traceability:outgoing[]
traceability:incoming[]"""
REQ-007,REQ-007 — Configuration defines relations,requirement,,requirements.adoc,"""The system SHALL read relation definitions from configuration as a nested structure: `source_role → target_role → [allowed_types]`. Each entry defines which relation types are valid from one role to another.

Related specs: `configuration-system/spec.md`

traceability:outgoing[]
traceability:incoming[]"""
REQ-008,REQ-008 — Configuration defines matrices,requirement,,requirements.adoc,"""The system SHALL read matrix definitions from configuration. Each matrix specifies a `name`, `rows` role, `columns` roles, and `coverageRelations` mapping column roles to relation types that count as coverage.

Related specs: `configuration-system/spec.md`

traceability:outgoing[]
traceability:incoming[]"""
REQ-009,REQ-009 — Configuration is required for validation,requirement,,requirements.adoc,"""The system SHALL require a valid configuration to perform role-based relation validation. Without a ConfigLoader, all relations are allowed (unguarded mode).

Related specs: `configuration-system/spec.md`

traceability:outgoing[]
traceability:incoming[]"""
REQ-010,REQ-010 — Configuration file location,requirement,,requirements.adoc,"""The system SHALL search for `traceability.yml` or `traceability.yaml` in common locations. A custom path SHALL be specifiable via `--config` CLI flag or `configPath` playbook option.

Related specs: `configuration-system/spec.md`

traceability:outgoing[]
traceability:incoming[]"""
REQ-011,REQ-011 — Configuration validation,requirement,,requirements.adoc,"""The system SHALL validate the configuration structure: roles must be non-empty strings, relation source/target roles must be in the roles list, matrix row/column roles must be in the roles list, and relation types must be arrays. Invalid configurations produce clear error messages.

Related specs: `configuration-system/spec.md`

traceability:outgoing[]
traceability:incoming[]"""
REQ-012,REQ-012 — Configuration can extend presets,requirement,,requirements.adoc,"""The system SHALL support the `extends` field in configuration to merge with a built-in preset. User configuration overrides preset values. Referencing a non-existent preset generates an error listing available presets.

Related specs: `configuration-system/spec.md`"""
