Row ID,Row Title,requirement
REQ-131,REQ-131 — DOCX wrapper script converts assembled AsciiDoc to DOCX,
REQ-132,REQ-132 — DOCX assembler configs mirror PDF assembler configs,
REQ-133,REQ-133 — PDF playbook includes DOCX assembler configurations,
REQ-134,REQ-134 — pandoc is available in the build environment,
REQ-184,REQ-184 — DOCX playbook references extension by local path in development,
PRQ-001,PRQ-001 — CI workflows trigger on push and PR,
PRQ-002,PRQ-002 — Test suite runs as merge gate,REQ-087: REQ-087 — Items inside verbatim blocks are not parsed; REQ-088: REQ-088 — Inline macros inside verbatim blocks are not parsed
PRQ-003,PRQ-003 — Example site builds without errors,
PRQ-004,PRQ-004 — Example site deploys from main branch,REQ-072: REQ-072 — Landing page at GitHub Pages root
PRQ-005,PRQ-005 — Release is tagged and versioned,
PRQ-006,PRQ-006 — PDF artifacts are generated alongside HTML,REQ-060: REQ-060 — Pages workflow generates PDFs; REQ-093: REQ-093 — Devbox provides Ruby and Node.js for PDF builds

Total 11 rows
Coverage: 27.3%
