Row ID,Row Title,requirement,implementation,test,document
ARC-001,ARC-001 — Project scope and architectural goals,REQ-001: REQ-001 — Single `item` macro replaces all block macros; REQ-006: REQ-006 — Configuration defines roles; REQ-009: REQ-009 — Configuration is required for validation; REQ-013: REQ-013 — Role-based relation validation; REQ-018: REQ-018 — Built-in preset configurations; REQ-024: REQ-024 — Neo4j CSV export; REQ-035: REQ-035 — Antora extension integration; REQ-036: REQ-036 — CLI commands,,,
ARC-002,ARC-002 — Component-level architecture,REQ-001: REQ-001 — Single `item` macro replaces all block macros; REQ-002: REQ-002 — `item` macro accepts role attribute; REQ-003: REQ-003 — `item` macro maintains existing attributes; REQ-004: REQ-004 — `item` macro supports block content; REQ-006: REQ-006 — Configuration defines roles; REQ-007: REQ-007 — Configuration defines relations; REQ-008: REQ-008 — Configuration defines matrices; REQ-011: REQ-011 — Configuration validation; REQ-024: REQ-024 — Neo4j CSV export; REQ-025: REQ-025 — Neo4j Cypher export; REQ-029: REQ-029 — Configurable matrix generation with coverage calculations; REQ-034: REQ-034 — Mustache template rendering,,,
ARC-012,ARC-012 — Preset YAML schema,REQ-019: REQ-019 — Each preset contains complete configuration; REQ-020: REQ-020 — Each preset includes documentation; REQ-021: REQ-021 — Each preset includes Neo4j Cypher queries; REQ-022: REQ-022 — Presets have independent versioning; REQ-023: REQ-023 — Users can define custom presets,,,
ARC-018,ARC-018 — Config-driven validation,QA-057: QA-057 — Fail-fast with clear diagnostics,,,
ARC-028,ARC-028 — Circular reference detection in graph validation,REQ-058: REQ-058 — Circular reference detection,,,
ARC-029,ARC-029 — Partial file processing with source-repo links,REQ-059: REQ-059 — Items defined in partials are processed,,,
ARC-015,ARC-015 — In-memory processing with no side effects,QA-058: QA-058 — No side effects on source files,,,
ARC-026,ARC-026 — GraphViz DOT and Vega-Lite serialization methods,REQ-053: REQ-053 — Graph visualization methods on TraceabilityGraph,,,
ARC-016,ARC-016 — Event-driven Antora integration,QA-055: QA-055 — Zero operational overhead,,,
ARC-024,ARC-024 — traceability:outgoing[] and traceability:incoming[] link rendering,REQ-001: REQ-001 — Single `item` macro replaces all block macros; REQ-044: REQ-044 — traceability:outgoing[] renders outgoing links; REQ-045: REQ-045 — Opt-in via AsciiDoc attribute; REQ-046: REQ-046 — Inline macros are pure data markers; REQ-047: REQ-047 — Configurable display style; REQ-048: REQ-048 — Configurable sort order; REQ-055: REQ-055 — traceability:incoming[] renders incoming links; QA-060: QA-060 — PDF compatibility of generated output,,,
ARC-025,ARC-025 — traceability:graph[] and traceability:graph-coverage[] visualization macros,REQ-051: REQ-051 — Relationship graph via traceability:graph[] macro; REQ-052: REQ-052 — Coverage chart via traceability:graph-coverage[] macro,,,
ARC-027,ARC-027 — Automatic matrix sync to component _attachments,REQ-057: REQ-057 — Matrix files synced to component _attachments,,,
ARC-017,ARC-017 — Regex-based parsing,REQ-001: REQ-001 — Single `item` macro replaces all block macros; REQ-002: REQ-002 — `item` macro accepts role attribute; REQ-003: REQ-003 — `item` macro maintains existing attributes; REQ-004: REQ-004 — `item` macro supports block content,,,
ARC-019,ARC-019 — Config-driven matrix generation with coverage calculations,REQ-008: REQ-008 — Configuration defines matrices; REQ-029: REQ-029 — Configurable matrix generation with coverage calculations,,,
ARC-020,ARC-020 — Mustache template rendering for HTML output,REQ-034: REQ-034 — Mustache template rendering,,,
