Row ID,Row Title,design,implementation,test,document
REQ-001,REQ-001 — Single `item` macro replaces all block macros,ARC-001: ARC-001 — Project scope and architectural goals; ARC-002: ARC-002 — Component-level architecture; ARC-024: ARC-024 — traceability:outgoing[] and traceability:incoming[] link rendering; ARC-017: ARC-017 — Regex-based parsing; ARC-003: ARC-003 — Processing flow during Antora build; ARC-004: ARC-004 — Key architectural decisions and their rationale,,TST-001: TST-001 — Core Extension Tests,
REQ-002,REQ-002 — `item` macro accepts role attribute,ARC-002: ARC-002 — Component-level architecture; ARC-017: ARC-017 — Regex-based parsing; ARC-003: ARC-003 — Processing flow during Antora build,,TST-001: TST-001 — Core Extension Tests,
REQ-003,REQ-003 — `item` macro maintains existing attributes,ARC-002: ARC-002 — Component-level architecture; ARC-017: ARC-017 — Regex-based parsing,,TST-001: TST-001 — Core Extension Tests,
REQ-004,REQ-004 — `item` macro supports block content,ARC-002: ARC-002 — Component-level architecture; ARC-017: ARC-017 — Regex-based parsing; ARC-003: ARC-003 — Processing flow during Antora build,,TST-001: TST-001 — Core Extension Tests,
REQ-005,REQ-005 — Old macro syntax generates deprecation error,ARC-003: ARC-003 — Processing flow during Antora build,,TST-001: TST-001 — Core Extension Tests,
REQ-006,REQ-006 — Configuration defines roles,ARC-001: ARC-001 — Project scope and architectural goals; ARC-002: ARC-002 — Component-level architecture; ARC-004: ARC-004 — Key architectural decisions and their rationale,,TST-004: TST-004 — ConfigLoader Tests,
REQ-007,REQ-007 — Configuration defines relations,ARC-002: ARC-002 — Component-level architecture; ARC-004: ARC-004 — Key architectural decisions and their rationale,,TST-004: TST-004 — ConfigLoader Tests,
REQ-008,REQ-008 — Configuration defines matrices,ARC-002: ARC-002 — Component-level architecture; ARC-019: ARC-019 — Config-driven matrix generation with coverage calculations; ARC-004: ARC-004 — Key architectural decisions and their rationale,,TST-004: TST-004 — ConfigLoader Tests; TST-006: TST-006 — MatrixGenerator Tests,
REQ-009,REQ-009 — Configuration is required for validation,ARC-001: ARC-001 — Project scope and architectural goals,,TST-003: TST-003 — CLI Tests,
REQ-010,REQ-010 — Configuration file location,ARC-004: ARC-004 — Key architectural decisions and their rationale,,TST-003: TST-003 — CLI Tests; TST-004: TST-004 — ConfigLoader Tests; TST-008: TST-008 — Relationship Link Substitution Tests,
REQ-011,REQ-011 — Configuration validation,ARC-002: ARC-002 — Component-level architecture,,TST-004: TST-004 — ConfigLoader Tests,
REQ-012,REQ-012 — Configuration can extend presets,,,TST-004: TST-004 — ConfigLoader Tests,
